epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.539731574,3.432337999,0.001,0.738202262,2.213581651
1,0.83003746,0.10989856,0.001,0.863171065,0.172998816
2,0.973314583,0.087197967,0.001,0.953807712,0.140537918
3,0.980024993,0.075729989,0.001,0.973782778,0.083007082
4,0.985799015,0.047651056,0.001,0.954431951,0.227408722
5,0.98533082,0.047055621,0.001,0.961298406,0.168488041
6,0.986267149,0.055068769,0.001,0.976279676,0.0874357
7,0.990324616,0.030007634,0.001,0.980024993,0.07137426
8,0.993133605,0.02499366,0.001,0.978776515,0.115784109
9,0.989076138,0.037217073,0.001,0.984394491,0.075125292
10,0.995006263,0.018888827,0.001,0.981273413,0.105454735
11,0.99235332,0.024331713,0.001,0.986891389,0.061125346
12,0.993913829,0.019973032,0.001,0.983770311,0.104517937
13,0.992041171,0.028985774,0.001,0.976903856,0.104988232
14,0.994694114,0.02298064,0.001,0.976279676,0.118595615
15,0.995006263,0.017945198,0.001,0.988139808,0.063717671
16,0.994850159,0.021691592,0.001,0.983146071,0.061540972
17,0.998439431,0.003676148,0.001,0.987515628,0.074947558
18,0.993757784,0.030300669,0.001,0.988776515,0.097909221
19,0.997191012,0.009367071,0.0001,0.988764048,0.057857729
